competitionId	name	cityname	countryId	competitors	year	month	day
MaruCubeKidsDay2015	Maru Cube for Kids Day 2015	Tainan	Taiwan	74	2015	4	5
ShanghaiFudanSpring2015	Shanghai Fudan Spring 2015	Shanghai	China	77	2015	4	25
TJUOpen2015	Tianjin University Open 2015	Tianjin	China	71	2015	4	26
WenzhouOpen2015	Wenzhou Open 2015	Wenzhou, Zhejiang	China	66	2015	4	26
NanjingSpring2015	Nanjing Spring 2015	Nanjing	China	132	2015	5	1
ChengduOpen2015	Chengdu Open 2015	Chengdu	China	63	2015	5	2
CubeOfPrimeNumbers2015	Cube of Prime Numbers 2015	Guangzhou, Guangdong	China	77	2015	5	2
ShowOffQuickness2015	Show Off Quickness 2015	Taichung	Taiwan	24	2015	5	10
WuhanOpen2015	Wuhan Open 2015	Wuhan, Hubei	China	48	2015	5	10
HongKongSpring2015	Hong Kong Spring Cube Day 2015	Hong Kong	Hong Kong	30	2015	5	16
QinhuangdaoOpen2015	Qinhuangdao Open 2015	Qinhuangdao, Hebei	China	71	2015	5	16
XianSummer2015	Xi'an Summer 2015	Xi'an, Shaanxi	China	35	2015	5	17
FuzhouOpen2015	Fuzhou Open 2015	Fuzhou, Fujian	China	45	2015	5	24
HsinchuSpringOpen2015	Hsinchu Spring Open 2015	Hsinchu	Taiwan	55	2015	5	31
ZhengzhouOpen2015	Zhengzhou Open 2015	Zhengzhou, Henan	China	111	2015	5	31
GuangzhouSYSUOpen2015	Guangzhou SYSU Open 2015	Guangzhou, Guangdong	China	61	2015	6	6
TaiwanCubingLeague2015	Taiwan Cubing League - Taipei 2015	Taipei	Taiwan	48	2015	6	13
NanchangOpen2015	Nanchang Open 2015	Nanchang, Jiangxi	China	65	2015	6	14
TaiwanOpen2015	Taiwan Open 2015	Tainan	Taiwan	118	2015	7	11
ShenzhenOpen2015	Shenzhen Open 2015	Shenzhen, Guangdong	China	98	2015	7	12
HefeiOpen2015	Hefei Open 2015	Hefei, Anhui	China	110	2015	7	17
YangjiangOpen2015	Yangjiang Open 2015	Yangjiang, Guangdong	China	41	2015	7	23
HsinchuSummerOpen2015	Hsinchu Summer Open 2015	Hsinchu City	Taiwan	49	2015	7	26
HuizhouOpen2015	Huizhou Open 2015	Huizhou, Guangdong	China	74	2015	7	26
QinzhouOpen2015	Qinzhou Open 2015	Qinzhou, Guangxi	China	28	2015	7	29
MagicRevenge2015	Magic Revenge 2015	New Taipei City	Taiwan	53	2015	8	2
ShantouOpen2015	Shantou Open 2015	Shantou, Guangdong	China	105	2015	8	2
WuxiOpen2015	Wuxi Open 2015	Wuxi, Jiangsu	China	134	2015	8	8
XiningSummerOpen2015	Xining Summer Open 2015	Xining, Qinghai	China	54	2015	8	8
CrossstraitCubing2015	Cross-strait Cubing Exchange 2015	Taichung	Taiwan	107	2015	8	15
HongKongSummerCubeDay2015	Hong Kong Summer Cube Day 2015	Hong Kong	Hong Kong	68	2015	8	22
TwistingFingers2015	Twisting Fingers in New Taipei City 2015	New Taipei City	Taiwan	55	2015	8	22
ShanghaiSummerOpen2015	Shanghai Summer Open 2015	Shanghai	China	56	2015	8	30
ChinaChampionship2015	China Championship 2015	Guangzhou, Guangdong	China	513	2015	10	2
BeijingOpen2015	Beijing Open 2015	Beijing	China	144	2015	10	24
NanjingAutumn2015	Nanjing Autumn 2015	Nanjing	China	77	2015	10	24
Taichung2015	Taiwan Cubing League - Taichung 2015	Taichung	Taiwan	47	2015	10	25
WuhanUniversityOpen2015	Wuhan University Open 2015	Wuhan, Hubei	China	74	2015	11	1
ZhenjiangOpen2015	Zhenjiang Open 2015	Zhenjiang, Jiangsu	China	86	2015	11	7
ZiboOpen2015	Zibo Open 2015	Zibo, Shandong	China	95	2015	11	15
BeijingLongEvents2015	Beijing Long Events Open 2015	Beijing	China	8	2015	11	29
ParityOpen2015	Parity Open 2015	Guangzhou, Guangdong	China	38	2015	11	29
XianOpen2015	Xi'an Open 2015	Xi'an	China	73	2015	11	29
TianjinWinterOpen2015	Tianjin Winter Open 2015	Tianjin	China	65	2015	12	5
TaipeiOpen2015	Taipei Open 2015	Taipei	Taiwan	50	2015	12	6
YunnanOpen2015	Yunnan Open 2015	Kunming, Yunnan	China	45	2015	12	13
HeilongjiangOpen2015	Heilongjiang Open 2015	Harbin, Heilongjiang	China	76	2015	12	20
