name	city	value	year	month	day
BeijingWinter2018	北京	225	2018	12	31
DongguanOpen2019	广东	114	2019	1	13
YangjiangOpen2019	广东	36	2019	1	19
InnerMongoliaWinter2019	内蒙古	109	2019	1	26
HongKongCubeDay2019	香港	150	2019	1	26
TaipeiPeaceOpen2019	台湾	84	2019	1	26
JieyangWinter2019	广东	100	2019	1	27
ShenyangNewYear2019	辽宁	140	2019	1	27
TaichungCubingOpen2019	台湾	98	2019	2	16
Shenzhen3x3Days2019	广东	140	2019	3	2
XianyangOpen2019	陕西	135	2019	3	3
ZhuyuangangOpen2019	台湾	77	2019	3	16
GDSYOpen2019	广东	270	2019	3	23
HefeiSpring2019	安徽	188	2019	3	23
FuzhouSpring2019	福建	101	2019	3	24
WuhanChuyunSpring2019	湖北	95	2019	3	24
QingdaoSpring2019	山东	114	2019	3	31
TaipeiAlmostWithoutNxN2019	台湾	51	2019	3	31
